data,confidence,fold
test-ID,0.6043221,0
test-ID,0.9247231,0
test-ID,0.97060215,0
test-ID,0.999776,0
test-ID,0.24291983,0
test-ID,0.9764281,0
test-ID,0.9940274,0
test-ID,0.98873556,0
test-ID,0.3013193,0
test-ID,0.6462824,0
test-ID,0.824504,0
test-ID,0.46615705,0
test-ID,0.9953309,0
test-ID,0.531368,0
test-ID,0.9122118,0
test-ID,0.91711056,0
test-ID,0.9988321,0
test-ID,0.1990728,0
test-ID,0.97604334,0
test-ID,0.96632147,0
test-ID,0.92410356,0
test-ID,0.7471062,0
test-ID,0.19810164,0
test-ID,0.85401714,0
test-ID,0.22385596,0
test-ID,0.6498089,0
test-ID,0.37604883,0
test-ID,0.46536303,0
test-ID,0.8199591,0
test-ID,0.9914967,0
test-ID,0.74098855,0
test-ID,0.9432535,0
test-ID,0.9309648,0
test-ID,0.3430292,0
test-ID,0.8278316,0
test-ID,0.9946942,0
test-ID,0.3727834,0
test-ID,0.74858254,0
test-ID,0.98712325,0
test-ID,0.98981017,0
test-OOD,0.7767543,0
test-OOD,0.63275903,0
test-OOD,0.81501156,0
test-OOD,0.35128796,0
test-OOD,0.99722564,0
test-OOD,0.5623083,0
test-OOD,0.43206877,0
test-OOD,0.5817766,0
test-OOD,0.8594037,0
test-OOD,0.25468653,0
test-OOD,0.56086373,0
test-OOD,0.9169542,0
test-OOD,0.9072531,0
test-OOD,0.3542103,0
test-OOD,0.7934346,0
test-OOD,0.2699842,0
test-OOD,0.5698848,0
test-OOD,0.9240675,0
test-OOD,0.12843908,0
test-OOD,0.6462662,0
test-OOD,0.6458012,0
test-OOD,0.89783365,0
test-OOD,0.46365723,0
test-OOD,0.7026213,0
test-OOD,0.80731213,0
test-OOD,0.27335745,0
test-OOD,0.83742493,0
test-OOD,0.48627257,0
test-OOD,0.5843282,0
test-OOD,0.37544474,0
test-OOD,0.7846257,0
test-OOD,0.65806997,0
test-OOD,0.50117254,0
test-OOD,0.9431967,0
test-OOD,0.10425581,0
test-OOD,0.65780187,0
test-OOD,0.89443433,0
test-OOD,0.8761002,0
test-OOD,0.72487646,0
test-OOD,0.99644667,0
test-OOD,0.6226678,0
test-OOD,0.22461766,0
test-OOD,0.8815216,0
test-OOD,0.6810509,0
test-OOD,0.88523674,0
test-OOD,0.797508,0
test-OOD,0.9020389,0
test-OOD,0.9953259,0
test-OOD,0.7181561,0
test-OOD,0.9554094,0
test-OOD,0.978809,0
test-OOD,0.8979342,0
test-OOD,0.79547817,0
test-OOD,0.72379225,0
test-OOD,0.9403845,0
test-OOD,0.51119006,0
test-OOD,0.9212719,0
test-OOD,0.968846,0
test-OOD,0.74832094,0
test-OOD,0.7432852,0
test-OOD,0.7750565,0
test-OOD,0.44810012,0
test-OOD,0.8630986,0
test-OOD,0.727319,0
test-OOD,0.26736286,0
test-OOD,0.70540303,0
test-OOD,0.5233788,0
test-OOD,0.36881977,0
test-OOD,0.18402828,0
test-OOD,0.49705252,0
test-OOD,0.45270002,0
test-OOD,0.39975435,0
test-OOD,0.6145015,0
test-OOD,0.34801573,0
test-OOD,0.68105406,0
test-OOD,0.16924179,0
test-OOD,0.5139185,0
test-OOD,0.35389796,0
test-OOD,0.9691327,0
test-OOD,0.6084808,0
test-OOD,0.80068386,0
test-OOD,0.31923807,0
test-OOD,0.34102535,0
test-OOD,0.6835895,0
test-OOD,0.78816164,0
test-OOD,0.71613246,0
test-OOD,0.51563907,0
test-OOD,0.25780553,0
test-OOD,0.7108365,0
test-OOD,0.6353181,0
test-OOD,0.5655061,0
test-OOD,0.5675116,0
test-OOD,0.13735077,0
test-OOD,0.46389705,0
test-OOD,0.82922184,0
test-OOD,0.2743801,0
test-OOD,0.32826126,0
test-OOD,0.19689983,0
test-OOD,0.891343,0
test-OOD,0.40505773,0
test-OOD,0.521217,0
test-OOD,0.46649837,0
test-OOD,0.8309478,0
test-OOD,0.49250996,0
test-OOD,0.3994968,0
test-OOD,0.7390099,0
test-OOD,0.9545383,0
test-OOD,0.71307534,0
test-OOD,0.5886582,0
test-OOD,0.5972037,0
test-OOD,0.5783712,0
test-OOD,0.8177781,0
test-OOD,0.9317997,0
test-OOD,0.9664654,0
test-OOD,0.8863958,0
test-OOD,0.8011346,0
test-OOD,0.89678735,0
test-OOD,0.33635402,0
test-OOD,0.9645507,0
test-OOD,0.88793033,0
test-OOD,0.6909179,0
test-OOD,0.88743544,0
test-OOD,0.95251906,0
test-OOD,0.3947778,0
test-OOD,0.30840254,0
test-OOD,0.7041565,0
test-OOD,0.4331693,0
test-OOD,0.784196,0
test-OOD,0.37303394,0
test-OOD,0.71571684,0
test-OOD,0.9597361,0
test-OOD,0.9462198,0
test-OOD,0.93191236,0
test-OOD,0.41047448,0
test-OOD,0.5124531,0
test-OOD,0.40023327,0
test-OOD,0.35186255,0
test-OOD,0.30826238,0
test-OOD,0.35693532,0
test-OOD,0.64080393,0
test-OOD,0.4744143,0
test-OOD,0.66517067,0
test-OOD,0.8110988,0
test-OOD,0.9788978,0
test-OOD,0.1650034,0
test-OOD,0.62087464,0
test-OOD,0.4557287,0
test-OOD,0.5634366,0
test-OOD,0.35930282,0
test-OOD,0.55760413,0
test-OOD,0.6582957,0
test-OOD,0.7758301,0
test-OOD,0.32826418,0
test-OOD,0.39562875,0
test-OOD,0.41937345,0
test-OOD,0.2950866,0
test-OOD,0.1891099,0
test-OOD,0.8328364,0
test-OOD,0.27785218,0
test-OOD,0.55296993,0
test-OOD,0.6476113,0
test-OOD,0.3087755,0
test-OOD,0.74885374,0
test-OOD,0.47507927,0
test-OOD,0.98580754,0
test-OOD,0.4257179,0
test-OOD,0.3266335,0
test-OOD,0.17765372,0
test-OOD,0.94857603,0
test-OOD,0.17787433,0
test-OOD,0.7898115,0
test-OOD,0.2078435,0
test-OOD,0.2908664,0
test-OOD,0.60696054,0
test-OOD,0.8912491,0
test-OOD,0.8896479,0
test-OOD,0.3631336,0
test-OOD,0.80759263,0
test-OOD,0.6275961,0
test-OOD,0.84833175,0
test-OOD,0.51634914,0
test-OOD,0.83005065,0
test-OOD,0.9874186,0
test-OOD,0.43621123,0
test-OOD,0.5887499,0
test-OOD,0.4536581,0
test-OOD,0.39593333,0
test-OOD,0.7224539,0
test-OOD,0.3868428,0
test-OOD,0.37134463,0
test-OOD,0.7585468,0
test-OOD,0.9643593,0
test-OOD,0.5454203,0
test-OOD,0.3758431,0
test-OOD,0.44783914,0
test-OOD,0.96815795,0
test-OOD,0.7456727,0
test-OOD,0.747317,0
test-OOD,0.9418761,0
test-OOD,0.667011,0
test-OOD,0.92934525,0
test-OOD,0.27203637,0
test-OOD,0.8861696,0
test-OOD,0.80429316,0
test-OOD,0.8415291,0
test-OOD,0.8624941,0
test-OOD,0.5919599,0
test-OOD,0.30297723,0
test-OOD,0.77457815,0
test-OOD,0.52057683,0
test-OOD,0.6316335,0
test-OOD,0.9138739,0
test-OOD,0.396438,0
test-OOD,0.66614854,0
test-OOD,0.32330126,0
test-OOD,0.8067617,0
test-OOD,0.69521934,0
test-OOD,0.3905422,0
test-OOD,0.28737283,0
test-OOD,0.5472686,0
test-OOD,0.35568082,0
test-OOD,0.76180005,0
test-OOD,0.299731,0
test-OOD,0.6441598,0
test-OOD,0.39058155,0
test-OOD,0.38309163,0
test-OOD,0.97392964,0
test-OOD,0.34120554,0
test-OOD,0.9994459,0
test-OOD,0.9927722,0
test-OOD,0.9776884,0
test-OOD,0.94013584,0
test-OOD,0.84601045,0
test-OOD,0.38459355,0
test-OOD,0.7786649,0
test-OOD,0.9727713,0
test-OOD,0.34178823,0
test-OOD,0.7890905,0
test-OOD,0.80348,0
test-OOD,0.6969959,0
test-OOD,0.6553399,0
test-OOD,0.9486693,0
test-OOD,0.38328737,0
test-OOD,0.86171544,0
test-OOD,0.6355772,0
test-OOD,0.9890524,0
test-OOD,0.8988548,0
test-OOD,0.47850862,0
test-OOD,0.6438523,0
test-OOD,0.441606,0
test-OOD,0.55688864,0
test-OOD,0.67485464,0
test-OOD,0.84318066,0
test-OOD,0.9150294,0
test-OOD,0.37920886,0
test-OOD,0.6686858,0
test-OOD,0.69674814,0
test-OOD,0.8474977,0
test-OOD,0.18193884,0
test-OOD,0.6121758,0
test-OOD,0.761484,0
test-OOD,0.43269253,0
test-OOD,0.9235644,0
test-OOD,0.7661599,0
test-OOD,0.33767456,0
test-OOD,0.21471874,0
test-OOD,0.43708897,0
test-OOD,0.4540032,0
test-OOD,0.3002273,0
test-OOD,0.25629413,0
test-OOD,0.8158786,0
test-OOD,0.76595575,0
test-OOD,0.24948174,0
test-OOD,0.09045011,0
test-OOD,0.3298767,0
test-OOD,0.32417303,0
test-OOD,0.5646675,0
test-OOD,0.37838787,0
test-OOD,0.6850244,0
test-OOD,0.89703375,0
test-OOD,0.9920105,0
test-OOD,0.5800452,0
test-OOD,0.87074864,0
test-OOD,0.1354167,0
test-OOD,0.6848601,0
test-OOD,0.70985305,0
test-OOD,0.22043607,0
test-OOD,0.36190337,0
test-OOD,0.23619822,0
test-OOD,0.3966319,0
test-OOD,0.7027509,0
test-OOD,0.11225982,0
test-OOD,0.4365228,0
test-OOD,0.5030808,0
test-OOD,0.7215646,0
test-OOD,0.9748062,0
test-OOD,0.39074033,0
test-OOD,0.73254025,0
test-OOD,0.61938834,0
test-OOD,0.49241966,0
test-OOD,0.32215446,0
test-OOD,0.29327142,0
test-OOD,0.28172958,0
test-OOD,0.5766377,0
test-OOD,0.39000496,0
test-OOD,0.29202822,0
test-OOD,0.8557132,0
test-OOD,0.5432648,0
test-OOD,0.9284208,0
test-OOD,0.92698777,0
test-OOD,0.74863726,0
test-OOD,0.25579122,0
test-OOD,0.27101123,0
test-OOD,0.5558818,0
test-OOD,0.7166297,0
test-OOD,0.8589962,0
test-OOD,0.30011052,0
test-OOD,0.28556156,0
test-OOD,0.20556352,0
test-OOD,0.2763846,0
test-OOD,0.28710392,0
test-OOD,0.70737517,0
test-OOD,0.30601683,0
test-OOD,0.6669129,0
test-OOD,0.15810633,0
test-OOD,0.33459222,0
test-OOD,0.4484355,0
test-OOD,0.1719171,0
test-OOD,0.41124427,0
test-OOD,0.5873329,0
test-OOD,0.3307795,0
test-OOD,0.22613311,0
test-OOD,0.49779817,0
test-OOD,0.23733577,0
test-OOD,0.18890464,0
test-OOD,0.7258127,0
test-OOD,0.75423026,0
test-OOD,0.7235862,0
test-OOD,0.22642402,0
test-OOD,0.3424514,0
test-OOD,0.73938614,0
test-OOD,0.72909987,0
test-OOD,0.9138428,0
test-OOD,0.49717927,0
test-OOD,0.24063735,0
test-OOD,0.2344569,0
test-OOD,0.6315688,0
test-OOD,0.3805595,0
test-OOD,0.22995687,0
test-OOD,0.9680357,0
test-OOD,0.2791102,0
test-OOD,0.65925545,0
test-OOD,0.094435155,0
test-OOD,0.31175756,0
test-OOD,0.30218798,0
test-OOD,0.810761,0
test-OOD,0.060268063,0
test-OOD,0.3773055,0
test-OOD,0.70240915,0
test-OOD,0.4530491,0
test-OOD,0.30080387,0
test-OOD,0.256334,0
test-OOD,0.33155784,0
test-OOD,0.3612023,0
test-OOD,0.29146916,0
test-OOD,0.31087974,0
test-OOD,0.22508165,0
test-OOD,0.12001024,0
test-OOD,0.6388147,0
test-OOD,0.34940243,0
test-OOD,0.14321817,0
test-OOD,0.49153402,0
test-OOD,0.7485852,0
test-OOD,0.3309238,0
test-OOD,0.4555375,0
test-OOD,0.1798387,0
test-OOD,0.77338684,0
test-OOD,0.34132227,0
test-OOD,0.13470224,0
test-OOD,0.24890007,0
test-OOD,0.3315407,0
test-OOD,0.74598134,0
test-OOD,0.5011591,0
test-OOD,0.68660676,0
test-OOD,0.237229,0
test-OOD,0.5504554,0
test-OOD,0.79588443,0
test-OOD,0.9096208,0
test-OOD,0.6105102,0
test-OOD,0.96698636,0
test-OOD,0.5079484,0
test-OOD,0.8408588,0
test-OOD,0.1871497,0
test-OOD,0.46406335,0
test-OOD,0.6728756,0
test-OOD,0.705917,0
test-OOD,0.5910907,0
test-OOD,0.87240624,0
test-OOD,0.5843136,0
test-OOD,0.38750345,0
test-OOD,0.9273026,0
test-OOD,0.41915143,0
test-OOD,0.37938446,0
test-OOD,0.8943981,0
test-OOD,0.22142178,0
test-OOD,0.6152593,0
test-OOD,0.9650909,0
test-OOD,0.67934847,0
test-OOD,0.4626664,0
test-OOD,0.71101975,0
test-OOD,0.5137122,0
test-OOD,0.5458598,0
test-OOD,0.49607152,0
test-OOD,0.96616215,0
test-OOD,0.66978085,0
test-OOD,0.96352744,0
test-OOD,0.9439245,0
test-OOD,0.9534352,0
test-OOD,0.55459386,0
test-OOD,0.52959085,0
test-OOD,0.4957576,0
test-OOD,0.69984925,0
test-OOD,0.73304856,0
test-OOD,0.9253844,0
test-OOD,0.8193923,0
test-OOD,0.9211964,0
test-OOD,0.3366387,0
test-OOD,0.90733933,0
test-OOD,0.38067752,0
test-OOD,0.6535758,0
test-OOD,0.81111646,0
test-OOD,0.5063628,0
test-OOD,0.3037522,0
test-OOD,0.5963739,0
test-OOD,0.24167807,0
test-OOD,0.31939858,0
test-OOD,0.4235304,0
test-OOD,0.98104984,0
test-OOD,0.829211,0
test-OOD,0.31152675,0
test-OOD,0.15584716,0
test-OOD,0.46602353,0
test-OOD,0.5945141,0
test-OOD,0.5360279,0
test-OOD,0.1839182,0
test-OOD,0.6054807,0
test-OOD,0.76042986,0
test-OOD,0.40825784,0
test-OOD,0.116320014,0
test-OOD,0.47798455,0
test-OOD,0.92224824,0
test-OOD,0.6251526,0
test-OOD,0.6577244,0
test-OOD,0.34884536,0
test-OOD,0.58598393,0
test-OOD,0.47783688,0
test-OOD,0.6101003,0
test-OOD,0.26935422,0
test-OOD,0.5852716,0
test-OOD,0.53924227,0
test-OOD,0.5465794,0
test-OOD,0.1339384,0
test-OOD,0.6574046,0
test-OOD,0.33602044,0
test-OOD,0.3024176,0
test-OOD,0.22029145,0
test-OOD,0.40504968,0
test-OOD,0.5043427,0
test-OOD,0.53078926,0
test-OOD,0.37174284,0
test-OOD,0.3268139,0
test-OOD,0.6639646,0
test-OOD,0.4893911,0
test-OOD,0.37046677,0
test-OOD,0.25791812,0
test-OOD,0.27643764,0
test-OOD,0.81925774,0
test-OOD,0.39940292,0
test-OOD,0.39918616,0
test-OOD,0.4064022,0
test-OOD,0.550017,0
test-OOD,0.14835237,0
test-OOD,0.27150062,0
test-OOD,0.9320707,0
test-OOD,0.96297795,0
test-OOD,0.35513932,0
test-OOD,0.41417146,0
test-OOD,0.7130044,0
test-OOD,0.24268919,0
test-OOD,0.3792347,0
test-OOD,0.14230749,0
test-OOD,0.3039101,0
test-OOD,0.4610992,0
test-OOD,0.1959485,0
test-OOD,0.5750137,0
test-OOD,0.44402614,0
test-OOD,0.126205,0
test-OOD,0.73429656,0
test-OOD,0.33810323,0
test-OOD,0.76999044,0
test-OOD,0.33622578,0
test-OOD,0.7959788,0
test-OOD,0.5946099,0
test-OOD,0.38906848,0
test-OOD,0.09052245,0
test-OOD,0.2889711,0
test-OOD,0.31133017,0
test-OOD,0.98949844,0
test-OOD,0.62750286,0
test-OOD,0.22760569,0
test-OOD,0.28130117,0
test-OOD,0.959892,0
test-OOD,0.38004756,0
test-OOD,0.23964694,0
test-OOD,0.40233397,0
test-OOD,0.4263334,0
test-OOD,0.21187572,0
test-OOD,0.30657727,0
test-OOD,0.2810063,0
test-OOD,0.45662975,0
test-OOD,0.60959786,0
test-OOD,0.80752695,0
test-OOD,0.12894733,0
test-OOD,0.28169405,0
test-OOD,0.3681243,0
test-OOD,0.27490476,0
test-OOD,0.33926204,0
test-OOD,0.25610533,0
test-OOD,0.36919102,0
test-OOD,0.35886353,0
test-OOD,0.4350469,0
test-OOD,0.2179453,0
test-OOD,0.32617772,0
test-OOD,0.47192514,0
test-OOD,0.88994974,0
test-OOD,0.12257011,0
test-OOD,0.33669502,0
test-OOD,0.42572305,0
test-OOD,0.32265216,0
test-OOD,0.9779706,0
test-OOD,0.5787691,0
test-OOD,0.3052381,0
test-OOD,0.6669906,0
test-OOD,0.9303385,0
test-OOD,0.28290632,0
test-OOD,0.3885082,0
test-OOD,0.24132481,0
test-OOD,0.7672156,0
test-OOD,0.37778482,0
test-OOD,0.5969452,0
test-OOD,0.40303373,0
test-OOD,0.81882566,0
test-OOD,0.86788476,0
test-OOD,0.19222474,0
test-OOD,0.3576795,0
test-OOD,0.33751756,0
test-OOD,0.43065712,0
test-OOD,0.46372175,0
test-OOD,0.64677143,0
test-OOD,0.33591792,0
test-OOD,0.6595239,0
test-OOD,0.6065753,0
test-OOD,0.5479317,0
test-OOD,0.58049506,0
test-OOD,0.23821159,0
test-OOD,0.77971554,0
test-OOD,0.9248206,0
test-OOD,0.71733904,0
test-OOD,0.12400894,0
test-OOD,0.38457865,0
test-OOD,0.48060095,0
test-OOD,0.21854968,0
test-OOD,0.41044807,0
test-OOD,0.8866656,0
test-OOD,0.37720376,0
test-OOD,0.2157014,0
test-OOD,0.3162612,0
test-OOD,0.9533353,0
test-OOD,0.25896904,0
test-OOD,0.6779233,0
test-OOD,0.6928135,0
test-OOD,0.3672433,0
test-OOD,0.660047,0
test-OOD,0.6028087,0
test-OOD,0.6357264,0
test-OOD,0.8856119,0
test-OOD,0.78494,0
test-OOD,0.7308743,0
test-OOD,0.19159792,0
test-OOD,0.5853147,0
test-OOD,0.37650442,0
test-OOD,0.22638717,0
test-OOD,0.635041,0
test-OOD,0.62610435,0
test-OOD,0.51391715,0
test-OOD,0.9949052,0
test-OOD,0.42620772,0
test-OOD,0.6680701,0
test-OOD,0.9602449,0
test-OOD,0.8072823,0
test-OOD,0.2727039,0
test-OOD,0.9514114,0
test-OOD,0.44385827,0
test-OOD,0.28540647,0
test-OOD,0.4445117,0
test-OOD,0.34268543,0
test-OOD,0.37586516,0
test-OOD,0.60503507,0
test-OOD,0.972041,0
test-OOD,0.40960014,0
test-OOD,0.38961416,0
test-OOD,0.7847905,0
test-OOD,0.5512476,0
test-OOD,0.47795653,0
test-OOD,0.74303806,0
test-OOD,0.5865835,0
test-OOD,0.72531855,0
test-OOD,0.398895,0
test-OOD,0.34263417,0
test-OOD,0.41923076,0
test-OOD,0.6384306,0
test-OOD,0.36398813,0
test-OOD,0.38057798,0
test-OOD,0.90937996,0
test-OOD,0.623986,0
test-OOD,0.48635757,0
test-OOD,0.8866041,0
test-OOD,0.3369581,0
test-OOD,0.58970624,0
test-OOD,0.7940526,0
test-OOD,0.77757,0
test-OOD,0.6637262,0
test-OOD,0.5515572,0
test-OOD,0.5680549,0
test-OOD,0.73054796,0
test-OOD,0.28518045,0
test-OOD,0.46407938,0
test-OOD,0.7792488,0
test-OOD,0.9835765,0
test-OOD,0.7385982,0
test-OOD,0.8489729,0
test-OOD,0.9620077,0
test-OOD,0.7464674,0
test-OOD,0.5094129,0
test-OOD,0.82789296,0
test-OOD,0.7803064,0
test-OOD,0.3748794,0
test-OOD,0.64592385,0
test-OOD,0.7021842,0
test-OOD,0.6467264,0
test-OOD,0.24878024,0
test-OOD,0.8915193,0
test-OOD,0.9823788,0
test-OOD,0.78158283,0
test-OOD,0.36244875,0
test-OOD,0.7696142,0
test-OOD,0.43172434,0
test-OOD,0.52403235,0
test-OOD,0.35716593,0
test-OOD,0.70756197,0
test-OOD,0.30936006,0
test-OOD,0.8606419,0
test-OOD,0.2891699,0
test-OOD,0.61585873,0
test-OOD,0.84505075,0
test-OOD,0.49147367,0
test-OOD,0.6698897,0
test-OOD,0.535861,0
test-OOD,0.25289196,0
test-OOD,0.44858003,0
test-OOD,0.73305315,0
test-OOD,0.7392078,0
test-OOD,0.9248555,0
test-OOD,0.9186891,0
test-OOD,0.6808697,0
test-OOD,0.74357307,0
test-OOD,0.668891,0
test-OOD,0.7313967,0
test-OOD,0.7970226,0
test-OOD,0.27047077,0
test-OOD,0.17315066,0
test-OOD,0.26034436,0
test-OOD,0.27430695,0
test-OOD,0.408557,0
test-OOD,0.5316517,0
